protein,pdbid,state,trajectory_url,topology_url,model_url
Beta-arrestin-2,6K3F,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2319/24004_trj_2052.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2319/24003_dyn_2052.psf,
unknown,6CRK,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn1945/22215_trj_1728.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn1945/22214_dyn_1728.top,
unknown,3W5A,unknown,https://gpcrmd.org/dynadb/files/Dynamics//dyn1506/19416_trj_1302.dcd,https://gpcrmd.org/dynadb/files/Dynamics//dyn1506/19415_dyn_1302.psf,
unknown,3W5A,unknown,https://gpcrmd.org/dynadb/files/Dynamics//dyn1315/19483_trj_1315.dcd,https://gpcrmd.org/dynadb/files/Dynamics//dyn1315/19484_dyn_1315.psf,
Beta-1 adrenergic receptor,2Y00.B,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10226_trj_16.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10230_dyn_16.psf,
Adenosine receptor A2a,3RFM.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10414_trj_38.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10411_dyn_38.psf,
Glucagon receptor,4L6R.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11048_trj_110.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11051_dyn_110.psf,
Neurotensin receptor type 1,4BWB,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2378/24231_trj_2097.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2378/24221_dyn_2097.psf,
Beta-2 adrenergic receptor,2RH1.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/10185_trj_11.xtc,https://gpcrmd.org/dynadb/files/Dynamics/10188_dyn_11.psf,
unknown,6KPF,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2555/24901_trj_2229.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn2555/24902_dyn_2229.psf,
Mu-type opioid receptor,5C1M,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11897_trj_201.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11900_dyn_201.psf,
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,6VMS,unknown,https://gpcrmd.org/dynadb/files/Dynamics//dyn1420/19157_trj_1242.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn1420/tmp_dyn_0_1420.pdb,
unknown,6NBF,unknown,https://gpcrmd.org/dynadb/files/Dynamics//dyn1501/19386_trj_1297.dcd,https://gpcrmd.org/dynadb/files/Dynamics//dyn1501/19383_dyn_1297.psf,
